Source,Target,Type,Id,Label,Weight,Color
0507,대구,Undirected,0,,10,"#edf8fb"
0507,맛집,Undirected,1,,13,"#e7f5f7"
0507,서문시장,Undirected,2,,12,"#e9f6f8"
2023,50,Undirected,3,,98,"#5bb997"
2023,8월,Undirected,4,,10,"#edf8fb"
2023,9월,Undirected,5,,13,"#e7f5f7"
2023,가격,Undirected,6,,10,"#edf8fb"
2023,공원,Undirected,7,,43,"#b5e1d7"
2023,관광,Undirected,8,,25,"#d3edea"
2023,광장,Undirected,9,,15,"#e4f4f5"
2023,기간,Undirected,10,,14,"#e6f5f6"
2023,김밥,Undirected,11,,16,"#e2f3f4"
2023,대구,Undirected,12,,99,"#5ab896"
2023,대한민국,Undirected,13,,15,"#e4f4f5"
2023,대회,Undirected,14,,12,"#e9f6f8"
2023,맛있다,Undirected,15,,17,"#e1f3f3"
2023,맛집,Undirected,16,,45,"#b1e0d4"
2023,맥주,Undirected,17,,10,"#edf8fb"
2023,사전예약,Undirected,18,,12,"#e9f6f8"
2023,서문시장,Undirected,19,,59,"#9ad6c5"
2023,서울,Undirected,20,,14,"#e6f5f6"
2023,센터,Undirected,21,,18,"#dff2f2"
2023,순환로,Undirected,22,,13,"#e7f5f7"
2023,시간,Undirected,23,,10,"#edf8fb"
2023,시민,Undirected,24,,12,"#e9f6f8"
2023,시장,Undirected,25,,14,"#e6f5f6"
2023,여름,Undirected,26,,13,"#e7f5f7"
2023,예약,Undirected,27,,15,"#e4f4f5"
2023,정보,Undirected,28,,17,"#e1f3f3"
2023,주차장,Undirected,29,,11,"#ebf7f9"
2023,축제,Undirected,30,,33,"#c6e8e1"
2023,치맥,Undirected,31,,99,"#5ab896"
2023,치킨,Undirected,32,,19,"#ddf1f1"
2023,페스티벌,Undirected,33,,132,"#309565"
3일,9월,Undirected,34,,17,"#e1f3f3"
40,60,Undirected,35,,19,"#ddf1f1"
50,70,Undirected,36,,21,"#daf0ef"
50,가격,Undirected,37,,11,"#ebf7f9"
50,공원,Undirected,38,,23,"#d7efec"
50,김밥,Undirected,39,,12,"#e9f6f8"
50,대구,Undirected,40,,53,"#a4dacc"
50,맛집,Undirected,41,,45,"#b1e0d4"
50,바로가기,Undirected,42,,10,"#edf8fb"
50,서문시장,Undirected,43,,73,"#82cdb6"
50,서울,Undirected,44,,12,"#e9f6f8"
50,순환로,Undirected,45,,12,"#e9f6f8"
50,시간,Undirected,46,,18,"#dff2f2"
50,영업,Undirected,47,,15,"#e4f4f5"
50,예약,Undirected,48,,24,"#d5eeeb"
50,주차장,Undirected,49,,13,"#e7f5f7"
50,치맥,Undirected,50,,28,"#ceebe7"
50,페스티벌,Undirected,51,,38,"#bde5dc"
50,할인,Undirected,52,,14,"#e6f5f6"
5일,페스티벌,Undirected,53,,13,"#e7f5f7"
70,바로가기,Undirected,54,,10,"#edf8fb"
9월,공원,Undirected,55,,12,"#e9f6f8"
9월,대구,Undirected,56,,12,"#e9f6f8"
9월,축제,Undirected,57,,13,"#e7f5f7"
9월,페스티벌,Undirected,58,,12,"#e9f6f8"
경제,민원,Undirected,59,,16,"#e2f3f4"
경제,지역,Undirected,60,,13,"#e7f5f7"
공원,광장,Undirected,61,,11,"#ebf7f9"
공원,대구,Undirected,62,,22,"#d8efed"
공원,복자,Undirected,63,,10,"#edf8fb"
공원,사전예약,Undirected,64,,11,"#ebf7f9"
공원,순환로,Undirected,65,,38,"#bde5dc"
공원,주차장,Undirected,66,,11,"#ebf7f9"
공원,축제,Undirected,67,,10,"#edf8fb"
공원,치맥,Undirected,68,,20,"#dcf1f0"
공원,페스티벌,Undirected,69,,26,"#d2ede9"
관광,대구,Undirected,70,,16,"#e2f3f4"
관광,센터,Undirected,71,,29,"#ccebe6"
관광,정보,Undirected,72,,29,"#ccebe6"
관광,페스티벌,Undirected,73,,11,"#ebf7f9"
관광,한국,Undirected,74,,13,"#e7f5f7"
광장,시민,Undirected,75,,37,"#bfe5dd"
광장,잔디,Undirected,76,,10,"#edf8fb"
광장,치맥,Undirected,77,,14,"#e6f5f6"
광장,페스티벌,Undirected,78,,17,"#e1f3f3"
광장시장,연휴,Undirected,79,,10,"#edf8fb"
기간,축제,Undirected,80,,11,"#ebf7f9"
김기현,서울,Undirected,81,,11,"#ebf7f9"
김밥,서문시장,Undirected,82,,19,"#ddf1f1"
대구,맛집,Undirected,83,,68,"#8bd0bb"
대구,서문시장,Undirected,84,,77,"#7bcab2"
대구,센터,Undirected,85,,12,"#e9f6f8"
대구,시간,Undirected,86,,20,"#dcf1f0"
대구,시장,Undirected,87,,12,"#e9f6f8"
대구,식품,Undirected,88,,11,"#ebf7f9"
대구,영업,Undirected,89,,10,"#edf8fb"
대구,예약,Undirected,90,,12,"#e9f6f8"
대구,인스타그램,Undirected,91,,12,"#e9f6f8"
대구,정보,Undirected,92,,12,"#e9f6f8"
대구,주차장,Undirected,93,,14,"#e6f5f6"
대구,추천,Undirected,94,,10,"#edf8fb"
대구,축제,Undirected,95,,11,"#ebf7f9"
대구,치맥,Undirected,96,,85,"#6ec5a9"
대구,페스티벌,Undirected,97,,88,"#69c3a6"
대구,평화시장,Undirected,98,,15,"#e4f4f5"
대한민국,축제,Undirected,99,,12,"#e9f6f8"
동행,축제,Undirected,100,,11,"#ebf7f9"
맛있다,맛집,Undirected,101,,18,"#dff2f2"
맛있다,서문시장,Undirected,102,,12,"#e9f6f8"
맛집,서문시장,Undirected,103,,78,"#7acab1"
맛집,시간,Undirected,104,,16,"#e2f3f4"
맛집,영업,Undirected,105,,12,"#e9f6f8"
맛집,전화번호,Undirected,106,,10,"#edf8fb"
맛집,추천,Undirected,107,,15,"#e4f4f5"
맛집,치킨,Undirected,108,,10,"#edf8fb"
사전예약,치맥,Undirected,109,,16,"#e2f3f4"
사전예약,페스티벌,Undirected,110,,17,"#e1f3f3"
서문시장,시간,Undirected,111,,17,"#e1f3f3"
서문시장,추석,Undirected,112,,10,"#edf8fb"
서울,온누리상품권,Undirected,113,,10,"#edf8fb"
서울,정부,Undirected,114,,11,"#ebf7f9"
서울,청사,Undirected,115,,10,"#edf8fb"
서울,후쿠시마,Undirected,116,,10,"#edf8fb"
센터,정보,Undirected,117,,29,"#ccebe6"
센터,페스티벌,Undirected,118,,11,"#ebf7f9"
시간,영업,Undirected,119,,60,"#98d6c4"
시간,예약,Undirected,120,,10,"#edf8fb"
시간,전화번호,Undirected,121,,10,"#edf8fb"
시장,전통,Undirected,122,,27,"#d0ece8"
안전,점검,Undirected,123,,10,"#edf8fb"
야외,음악당,Undirected,124,,18,"#dff2f2"
여름,페스티벌,Undirected,125,,11,"#ebf7f9"
연휴,추석,Undirected,126,,10,"#edf8fb"
영업,전화번호,Undirected,127,,10,"#edf8fb"
예약,치맥,Undirected,128,,12,"#e9f6f8"
예약,페스티벌,Undirected,129,,18,"#dff2f2"
이웃,추가,Undirected,130,,20,"#dcf1f0"
정보,주차장,Undirected,131,,10,"#edf8fb"
정보,치맥,Undirected,132,,13,"#e7f5f7"
정보,페스티벌,Undirected,133,,17,"#e1f3f3"
주차장,페스티벌,Undirected,134,,12,"#e9f6f8"
축제,치맥,Undirected,135,,11,"#ebf7f9"
치맥,치킨,Undirected,136,,13,"#e7f5f7"
치맥,페스티벌,Undirected,137,,170,"#006d2c"
치킨,페스티벌,Undirected,138,,21,"#daf0ef"
